compound_stem,SMILES,u1,u2,u3
A00527063,CC(NC(=O)c1cccs1)C(N1CCN(Cc2ccccc2)CC1)c1cccs1,-0.90859526,-2.1305327,1.1105067
A00534683,COC1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,-0.3837417,0.9256551,2.8889308
A00556604,CCS(=O)(=O)N1CCC2(C1)CN(C(=O)CN2C)c1cccnc1,2.6440973,3.8829916,9.632546
A00571590,CC(C)C(CC(=O)NCc1ccco1)c1ccco1,-1.0775268,1.5223277,5.7330527
A00574995,CC1N(CC=C)C(=O)COC11CCN(Cc2nccs2)CC1,2.9143884,3.2533774,8.179672
A00578795,CC(C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1,-0.48733482,-3.1450741,0.3857728
A00603176,CCn1ncc(C2=NOC(C2)C(=O)N2CCC(CC2)C(N)=O)c1C,-1.1258107,-1.7028079,2.2770364
A00614056,CC1CCc2sc(cc2C1)C(=O)NCc1ccccn1,-0.13645814,-3.2702615,0.39623532
A00622906,Clc1ccc(cc1)\C=N\NC(=O)C1CC11CCC1,-0.24237923,-1.0883225,4.215009
A00647355,CC1CCCCN1S(=O)(=O)c1ccc2N(CCc2c1)C(=O)C1CC1,-0.9803631,2.219889,5.9264474
A00676226,Cn1nnc2CN(CC(COCC3CC3)c12)C(=O)CS(C)(=O)=O,0.3835443,3.9442735,7.6118093
A00690675,CCN(CC)C(=O)C(C)OC(=O)COc1ccc(Cl)cc1C,0.27101436,-2.2221243,1.2207787
A00695217,COC1CCCN(C1)C(=O)c1cccc(OC2CCN(CC2)S(C)(=O)=O)c1,-0.7319348,-2.9438024,0.17010401
A00705279,CN(C)CCOCC1CN(Cc2cccc(C)n2)Cc2ccnn2C1,0.28548563,-0.44347325,2.2823536
A00707849,COC(=O)C1=C(C)N=C2SC(C)C(=O)N2C1\C=C\c1ccccc1,-0.2660081,-2.9404294,0.67436117
A00713990,CS(=O)(=O)N1CCCC11CCCN(C1)C(=O)c1ccno1,2.852437,3.6178243,8.961429
A00731808,Cc1cc(C(=O)CN2C(=O)NC(C)(C2=O)c2ccccc2)c(C)n1CC1CCCO1,0.06823923,2.473994,6.7369432
A00736675,O=C(Nc1ccc2OCCOc2c1)C1CCCN(C1)S(=O)(=O)c1c[nH]cn1,-0.19025785,1.0230947,2.7914362
A00749257,CN(C)C1COC2(C1)CCN(CC2)S(=O)(=O)C1CC1,-1.1397414,1.0027814,4.4067454
A00760609,Cc1ccc(cc1)N1C(=O)C2CCC(C)(C1=O)C2(C)C,-0.18650788,2.51927,6.9522905
A00769187,Clc1ccc(NC2N(Cc3ccccc3)C(=O)c3ccccc23)nc1,1.1977963,3.9907289,9.144784
A00780535,C[C@@H]1CN(CC[C@@]11CCC(O1)C(=O)NCC1CC1)C(=O)Nc1ccccc1,2.7528007,3.8566213,9.578977
A00823098,CC1CC(N(C(=O)c2ccco2)c2ccccc2)c2ccccc2N1C(=O)c1ccco1,-1.3559948,1.0625428,2.4335203
A00835769,O=C(NCCc1ccccc1)C1CN(C(=O)C1)c1ccc2OCCOc2c1,0.0786847,2.6367114,4.172965
A00848070,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)c1ccccc1,3.2373743,7.8784995,-0.02283479
A00859646,CC1CCCCN1C(=O)Cn1c2ccc(cc2oc1=O)S(=O)(=O)N1CCCC1,0.63562113,-0.11957222,3.1477406
A00867772,Cn1ccnc1CN1CCCC2(CC(CO2)Nc2cccc(F)c2)C1,1.6182678,3.8390455,8.879085
A00868696,CC1CN(CC(C)O1)S(=O)(=O)Cc1ccccc1,-1.4418951,0.22198357,3.3846803
A00881159,Cc1nc(cs1)C(=O)N1CCc2c([nH]c3ccccc23)C1c1cc(F)ccc1F,0.29775172,2.55233,6.436781
A00893579,Fc1cccc(CN2CC3CN(CC3C2)C(=O)c2cccs2)c1,-1.0513957,-2.395986,0.94229114
A00918509,CNC(=O)CC1CC2(CCN(CC2)C(=O)COc2ccccc2)Oc2ccccc12,0.5082869,3.8310497,6.5153475
A00936450,FC(F)(F)C1CCCN(C1)C(=O)CNC(=O)c1ccc2ccccc2c1,-0.74234927,-1.3590642,0.7528151
A00942969,OC(=O)C1CCC(=O)N(C2CC2)C1c1ccccc1,0.65308064,3.204422,7.325429
A00967121,OC(CNCc1ccc(F)cc1)COc1ccc(cc1)C(=O)c1ccccc1,1.0701462,3.7428164,9.275256
