,compound_stem,u1,u2,u3
11192,M71049352_1,0.5675312,5.927468,5.0643024
11193,M71049352_30,-0.26316845,2.8884614,7.538156
11194,M71049352_3,-0.38837865,2.3983011,8.262753
11195,M71049352_10,0.3525171,5.0735574,5.5783105
11196,A44133049_1,0.50011665,5.299826,5.5521603
11197,A44133049_30,-0.24001965,2.7364118,8.15161
11198,A44133049_3,-0.3727272,1.554784,9.57561
11199,A44133049_10,0.09146683,3.8189628,6.7421207
11200,K00673382_1,-0.23944037,2.2980356,8.499183
11201,K00673382_30,-0.26791978,2.313208,8.456241
11202,K00673382_3,-0.08978674,2.8389935,7.9692593
11203,K00673382_10,-0.084042154,2.894737,7.7443724
11204,A85295731_1,-0.16845436,2.9296985,7.888101
11205,A85295731_30,-0.13037923,3.2462237,7.507067
11206,A85295731_3,0.042034402,3.8664541,6.7906804
11207,A85295731_10,-0.20225972,3.1332128,7.684991
11208,K67966701_1,-0.31793627,1.6827637,9.115751
11209,K67966701_30,-0.33209035,1.9280773,8.952047
11210,K67966701_3,-0.37932622,1.194333,9.780303
11211,K67966701_10,-0.3690873,1.3623345,9.561741
11212,K28405228_1,-0.07592222,3.6056037,7.224038
11213,K28405228_30,-0.3894441,1.1117071,9.7784
11214,K28405228_3,-0.38780004,1.2786953,9.667154
11215,K28405228_10,-0.44627163,0.90213865,10.127753
11216,K41185545_1,-0.36962035,2.5848465,8.153414
11217,K41185545_30,0.5892617,5.9555655,5.1524825
11218,K41185545_3,-0.21742043,3.9479132,6.618891
11219,K41185545_10,0.22299357,5.8795958,4.808994
11220,K98054437_1,0.4707596,4.7770553,5.654104
11221,K98054437_30,-0.03730962,4.6356173,5.5736446
11222,K98054437_3,-0.30411837,2.3016777,7.9314833
11223,K98054437_10,0.031243892,4.392255,6.050507
11224,K96177243_1,1.9575565,8.656244,4.2735643
11225,K96177243_30,-0.38908032,2.5597286,8.101554
11226,K96177243_3,-0.49857616,2.6779587,8.018824
11227,K96177243_10,0.7972012,6.80355,4.5931716
11228,A47790386_1,8.781368,9.524842,8.605811
11229,A47790386_30,8.7738285,9.533866,8.604743
11230,A47790386_3,8.794696,9.5257015,8.611031
11231,A47790386_10,8.774784,9.529418,8.604132
11232,K53318339_1,0.44550604,5.894992,4.9058976
11233,K53318339_30,0.1628273,4.5790167,5.944652
11234,K53318339_3,0.33820122,5.453393,5.3330073
11235,K53318339_10,0.47379732,5.87295,4.915564
11236,K99984802_1,0.41680443,5.242321,5.4794545
11237,K99984802_30,0.22325684,4.433221,6.1609273
11238,K99984802_3,-0.22051352,3.4295743,7.395724
11239,K99984802_10,-0.051976044,3.4107854,7.163029
11240,K77597856_1,0.27212974,4.6139874,6.245042
11241,K77597856_30,1.0462244,6.10379,4.709951
11242,K77597856_3,0.004586451,3.8061688,7.125769
11243,K77597856_10,-0.20641692,2.8434427,7.9660892
11244,K90333595_1,0.3874059,5.13872,5.8137503
11245,K90333595_30,0.3111873,5.1282725,5.6051598
11246,K90333595_3,0.2971178,4.7296524,5.9788437
11247,K90333595_10,0.91092455,6.7838626,4.4460177
11248,A90551241_1,0.9631398,6.532285,4.7214813
11249,A90551241_30,0.6728414,6.1492615,4.845983
11250,A90551241_3,-0.008315065,3.3256042,7.402673
11251,A90551241_10,1.0468501,6.4751177,4.4834394
11252,K21884483_1,0.40466672,5.2200723,5.5407953
11253,K21884483_30,-0.059671313,3.735189,6.7568445
11254,K21884483_3,0.27307323,4.450879,6.0506406
11255,K21884483_10,0.9022789,6.685855,4.7613044
11256,K13050303_1,1.2963585,7.51656,4.0833197
11257,K13050303_30,-0.49707368,2.5453947,7.777613
11258,K13050303_3,-0.263821,3.5090637,6.019391
11259,K13050303_10,1.4870852,7.873768,4.148267
11260,A92630576_1,1.6367359,8.033728,4.301859
11261,A92630576_30,0.7151708,6.4698663,4.7476068
11262,A92630576_3,0.41962746,5.131272,5.728358
11263,A92630576_10,0.92112184,6.7156014,4.746796
11264,K78841970_1,-0.14985615,3.3760004,7.3757644
11265,K78841970_30,0.24065433,4.473815,5.268984
11266,K78841970_3,-0.30275542,3.151637,6.6768327
11267,K78841970_10,0.029405568,4.6439486,5.426691
11268,A09722536_1,0.76156986,6.3933372,4.8915358
11269,A09722536_30,0.5642685,5.359123,5.3425407
11270,A09722536_3,-0.096748866,4.1521764,6.1901803
11271,A09722536_10,0.5964861,5.544901,5.2963142
11272,K33972682_1,-0.018662017,2.8857799,7.7526646
11273,K33972682_30,-0.08075834,3.0255938,7.4901204
11274,K33972682_3,-0.13527584,2.7999465,7.971766
11275,K33972682_10,0.019089138,3.7270796,7.109973
11276,K34441861_1,-0.056609277,3.591701,7.228507
11277,K34441861_30,-0.44292814,1.8425952,9.121456
11278,K34441861_3,-0.3757176,1.3769802,9.478915
11279,K34441861_10,-0.21828783,3.2981298,7.3694215
